% Gap, PoCC
n/Time(s)       Tiled/Par       COZ             LOOPDP     
16300           3221.947438     110.117         2524.06    
8192            335.281641      14.2363         281.006    
4096            32.099545       1.98231         26.318     
2048            3.745214        0.282749        2.644      
1024            0.465239        0.046717        0.32       
