% Parenthesis, PluTo
n/Time(s)       Tiled/Par       COZ             LOOPDP
16300           166.481419      24.228          725.663
8192            28.370316       2.53835         82.122
4096            3.478542        0.470792        7.973
2048            0.607587        0.089867        0.879
1024            0.219395        0.036487        0.095    
